I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
38572740.000000,-0.033922,0.265523,0.006652,-0.005646,0.002391,-0.008392,-2.619588,-0.323295,9.446501,1.958000,9.808319,0.006652,51.875000,0.000288,-0.004837
38574740.000000,-0.033929,0.265531,0.006664,-0.004581,0.001326,0.005457,-2.619588,-0.323295,9.446501,2.005000,9.808319,0.006664,51.875000,0.000282,-0.004829
38576740.000000,-0.033934,0.265529,0.006664,-0.002450,-0.000805,0.000131,-2.570195,-0.324193,9.440214,2.005000,9.789211,0.006664,51.875000,0.000394,-0.000139
38578740.000000,-0.033928,0.265538,0.006660,0.001811,0.002391,-0.002000,-2.604321,-0.288271,9.421355,2.005000,9.778933,0.006660,51.875000,-0.003340,-0.004035
38580740.000000,-0.033917,0.265546,0.006672,0.000746,0.002391,0.004392,-2.584564,-0.251452,9.414171,2.052000,9.765747,0.006672,51.875000,-0.007213,-0.002302
38582740.000000,-0.033912,0.265551,0.006668,0.001811,0.001326,-0.002000,-2.589952,-0.299048,9.416865,1.958000,9.771112,0.006668,51.875000,-0.002166,-0.002718
38584740.000000,-0.033917,0.265551,0.006644,-0.000319,-0.000805,-0.011587,-2.589952,-0.299048,9.416865,2.005000,9.771112,0.006644,51.875000,-0.002171,-0.002717
38586752.000000,-0.033911,0.265527,0.006643,0.003942,-0.011457,-0.000935,-2.554929,-0.331377,9.424049,2.005000,9.769861,0.006643,51.875000,0.001238,0.000939
38588752.000000,-0.033907,0.265519,0.006652,0.000746,-0.004001,0.004392,-2.560317,-0.321499,9.428540,2.005000,9.775272,0.006652,51.875000,0.000178,0.000510
38590752.000000,-0.033914,0.265521,0.006650,-0.003515,0.000261,-0.000935,-2.585462,-0.319703,9.444705,2.051000,9.797412,0.006650,51.875000,-0.000077,-0.001535
38592752.000000,-0.033915,0.265520,0.006651,-0.000319,-0.001870,0.000131,-2.584564,-0.313417,9.377352,1.959000,9.732057,0.006651,51.875000,-0.000504,-0.003277
38594752.000000,-0.033922,0.265513,0.006641,-0.002450,-0.005066,-0.005196,-2.584564,-0.313417,9.377352,2.005000,9.732057,0.006641,51.875000,-0.000511,-0.003284
38596752.000000,-0.033923,0.265512,0.006631,-0.000319,-0.001870,-0.005196,-2.582768,-0.295456,9.394414,2.004000,9.747461,0.006631,51.875000,-0.002483,-0.002659
38598752.000000,-0.033912,0.265522,0.006635,0.001811,0.002391,0.001196,-2.604321,-0.254146,9.377352,2.005000,9.735595,0.006635,51.875000,-0.006816,-0.005281
38600752.000000,-0.033903,0.265522,0.006647,0.001811,-0.002935,0.005457,-2.619588,-0.304436,9.421355,2.052000,9.783499,0.006647,51.875000,-0.001601,-0.005541
38602744.000000,-0.033900,0.265521,0.006652,-0.001385,-0.002935,0.004392,-2.599831,-0.264922,9.407885,0.956000,9.764097,0.006652,51.875000,-0.005748,-0.003994
38604740.000000,-0.033923,0.265508,0.006636,-0.008842,-0.006131,-0.006261,-2.599831,-0.264922,9.407885,3.007000,9.764097,0.006636,51.875000,-0.005771,-0.004007
38606740.000000,-0.033933,0.265504,0.006630,-0.004581,-0.005066,-0.003065,-2.614199,-0.304436,9.390822,2.005000,9.752654,0.006630,51.875000,-0.001526,-0.005865
38608740.000000,-0.033935,0.265513,0.006622,-0.002450,0.003456,-0.004131,-2.585462,-0.277495,9.408783,2.005000,9.761497,0.006622,51.875000,-0.004451,-0.002549
38610736.000000,-0.033919,0.265514,0.006637,0.001811,-0.002935,0.005457,-2.621384,-0.235287,9.388128,2.061000,9.750075,0.006637,51.875000,-0.008862,-0.006693
38612740.000000,-0.033917,0.265515,0.006635,-0.002450,-0.002935,-0.002000,-2.621384,-0.235287,9.388128,1.949000,9.750075,0.006635,51.875000,-0.008860,-0.006692
38614740.000000,-0.033917,0.265520,0.006645,-0.003515,0.000261,0.004392,-2.601627,-0.280189,9.412375,2.005000,9.769329,0.006645,51.875000,-0.004158,-0.004038
38616740.000000,-0.033923,0.265506,0.006657,-0.004581,-0.006131,0.005457,-2.552234,-0.320601,9.452787,2.005000,9.796523,0.006657,51.875000,-0.000020,0.001940
38618740.000000,-0.033928,0.265502,0.006658,-0.004581,-0.006131,0.001196,-2.598035,-0.324193,9.399802,1.008000,9.757621,0.006658,51.875000,0.000548,-0.004006
38620740.000000,-0.033926,0.265502,0.006668,-0.002450,-0.001870,0.002261,-2.584564,-0.273005,9.348614,3.049000,9.703148,0.006668,51.875000,-0.004732,-0.004116
