I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25
115020800.000000,-0.005292,0.256713,0.017517,0.001241,0.001175,0.003636,-2.511823,-0.046698,9.468952,1.958000,0.003753,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115022800.000000,-0.005287,0.256704,0.017513,0.003371,0.003306,-0.001690,-2.474105,-0.047596,9.498587,2.004000,-0.001765,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115024800.000000,-0.005281,0.256711,0.017507,0.003371,0.005436,-0.002755,-2.486677,-0.044902,9.482423,2.003000,-0.002878,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115026824.000000,-0.005261,0.256713,0.017515,0.008697,0.003306,0.003636,-2.486677,-0.044902,9.482423,2.005000,0.003741,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115028800.000000,-0.005274,0.256717,0.017511,0.000175,-0.002021,-0.001690,-2.506434,-0.062863,9.493198,2.051000,-0.001736,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115030776.000000,-0.005279,0.256699,0.017510,-0.001955,-0.002021,-0.000625,-2.472309,-0.046698,9.481524,1.958000,-0.000635,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115032776.000000,-0.005274,0.256675,0.017520,-0.001955,-0.002021,0.004702,-2.452552,-0.036820,9.443807,2.003000,0.004872,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115034784.000000,-0.005297,0.256640,0.017527,-0.000890,-0.002021,0.003636,-2.445368,-0.078130,9.470748,2.005000,0.003770,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115036776.000000,-0.005313,0.256591,0.017526,0.004436,-0.009477,-0.000625,-2.445368,-0.078130,9.470748,2.004000,-0.000594,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115038776.000000,-0.005290,0.256587,0.017532,0.007632,-0.000955,0.002571,-2.481289,-0.038616,9.457277,2.051000,0.002663,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115040776.000000,-0.005269,0.256609,0.017535,0.003371,0.012893,0.001506,-2.489372,-0.027839,9.492301,1.958000,0.001486,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115042776.000000,-0.005271,0.256603,0.017527,-0.003021,-0.004151,-0.003821,-2.485780,-0.037718,9.448297,2.004000,-0.003927,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115044776.000000,-0.005263,0.256602,0.017534,-0.004086,0.005436,0.003636,-2.468717,-0.026043,9.460870,2.004000,0.003730,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115046776.000000,-0.005248,0.256608,0.017542,-0.000890,0.008632,0.003636,-2.468717,-0.026043,9.460870,2.004000,0.003712,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115048776.000000,-0.005257,0.256613,0.017552,0.005502,-0.000955,0.004702,-2.492964,-0.076334,9.447399,2.051000,0.004866,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115050776.000000,-0.005259,0.256564,0.017555,0.000175,-0.004151,0.001506,-2.444469,-0.050290,9.530019,1.957000,0.001579,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115052776.000000,-0.005285,0.256546,0.017547,-0.005151,0.001175,-0.003821,-2.457940,-0.064659,9.470748,2.004000,-0.003956,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115054776.000000,-0.005287,0.256569,0.017539,0.001241,0.008632,-0.003821,-2.492964,-0.048494,9.456379,2.005000,-0.003997,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115056784.000000,-0.005286,0.256576,0.017549,0.000175,0.000110,0.004702,-2.492964,-0.048494,9.456379,2.004000,0.004860,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115058776.000000,-0.005295,0.256568,0.017547,-0.000890,-0.003086,-0.000625,-2.485780,-0.055679,9.468952,2.051000,-0.000629,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
