I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
50478736.000000,-0.055410,0.525921,0.048230,0.003196,0.002131,-0.003196,-2.694125,-0.256840,9.416865,1.944000,9.798042,0.048230,0.000000,-0.028142,0.247367
50480736.000000,-0.055404,0.525931,0.048244,0.003196,0.006392,0.007457,-2.712984,-0.303538,9.410579,2.004000,9.798541,0.048244,0.000000,-0.023160,0.245389
50482736.000000,-0.055399,0.525920,0.048265,0.001065,-0.004261,0.009587,-2.721066,-0.304436,9.426744,2.004000,9.816333,0.048265,0.000000,-0.023115,0.245043
50484736.000000,-0.055396,0.525920,0.048263,0.004261,0.003196,0.000000,-2.701309,-0.289169,9.406987,2.004000,9.791430,0.048263,0.000000,-0.024666,0.246410
50486736.000000,-0.055375,0.525927,0.048269,0.010653,0.003196,0.003196,-2.731843,-0.281087,9.398905,2.051000,9.791904,0.048269,0.000000,-0.025478,0.243185
50488736.000000,-0.055360,0.525926,0.048282,0.006392,-0.001065,0.006392,-2.731843,-0.281087,9.398905,1.957000,9.791904,0.048282,0.000000,-0.025462,0.243183
50490736.000000,-0.055359,0.525921,0.048290,0.002131,-0.001065,0.004261,-2.726454,-0.304436,9.441113,2.005000,9.831625,0.048290,0.000000,-0.023125,0.244923
50492736.000000,-0.055344,0.525925,0.048304,0.007457,0.003196,0.007457,-2.721964,-0.302640,9.416865,2.004000,9.807040,0.048304,0.000000,-0.023217,0.244680
50494736.000000,-0.055332,0.525915,0.048305,0.008522,-0.003196,0.001065,-2.725557,-0.291864,9.447399,2.004000,9.837032,0.048305,0.000000,-0.024448,0.245171
50496736.000000,-0.055338,0.525903,0.048299,0.002131,-0.005326,-0.002131,-2.739027,-0.301742,9.435724,2.051000,9.829863,0.048299,0.000000,-0.023370,0.243522
50498736.000000,-0.055342,0.525892,0.048302,0.001065,-0.005326,0.002131,-2.739027,-0.301742,9.435724,1.957000,9.829863,0.048302,0.000000,-0.023374,0.243511
50500736.000000,-0.055349,0.525877,0.048289,0.004261,-0.007457,-0.004261,-2.735435,-0.317907,9.401599,2.018000,9.796618,0.048289,0.000000,-0.021548,0.242893
50502736.000000,-0.055346,0.525861,0.048295,0.001065,-0.005326,0.002131,-2.702208,-0.269413,9.406987,2.000000,9.791115,0.048295,0.000000,-0.026714,0.246246
50504736.000000,-0.055352,0.525863,0.048302,-0.001065,-0.001065,0.004261,-2.732741,-0.300844,9.336041,2.002000,9.732423,0.048302,0.000000,-0.023139,0.241248
50506736.000000,-0.055359,0.525859,0.048309,-0.001065,-0.002131,0.004261,-2.730945,-0.307130,9.385434,2.043000,9.779508,0.048309,0.000000,-0.022647,0.242844
50508736.000000,-0.055372,0.525862,0.048309,-0.002131,0.001065,0.001065,-2.730945,-0.307130,9.385434,1.958000,9.779508,0.048309,0.000000,-0.022659,0.242847
50510736.000000,-0.055379,0.525855,0.048305,-0.001065,-0.001065,-0.001065,-2.711188,-0.282883,9.409681,2.004000,9.796564,0.048305,0.000000,-0.025325,0.245446
50512736.000000,-0.055379,0.525868,0.048314,0.002131,0.008522,0.005326,-2.701309,-0.308926,9.399802,2.004000,9.785131,0.048314,0.000000,-0.022526,0.246172
50514736.000000,-0.055359,0.525882,0.048330,0.010653,0.004261,0.008522,-2.754294,-0.311620,9.368371,2.004000,9.769832,0.048330,0.000000,-0.022108,0.240090
50516736.000000,-0.055356,0.525888,0.048321,0.008522,0.001065,-0.002131,-2.746212,-0.313417,9.371065,2.051000,9.770198,0.048321,0.000000,-0.021923,0.240969
50518736.000000,-0.055355,0.525894,0.048320,0.005326,0.001065,0.001065,-2.746212,-0.313417,9.371065,1.957000,9.770198,0.048320,0.000000,-0.021923,0.240975
50520736.000000,-0.055337,0.525904,0.048333,0.005326,0.002131,0.005326,-2.755192,-0.252350,9.375555,2.004000,9.775265,0.048333,0.000000,-0.028428,0.240179
50522736.000000,-0.055335,0.525911,0.048341,0.001065,0.005326,0.004261,-2.717474,-0.283781,9.433928,2.004000,9.821619,0.048341,0.000000,-0.025263,0.245571
50524736.000000,-0.055339,0.525911,0.048342,0.002131,0.002131,0.002131,-2.717474,-0.312519,9.445602,2.004000,9.833704,0.048342,0.000000,-0.022265,0.245924
50526748.000000,-0.055344,0.525914,0.048327,0.004261,0.006392,-0.005326,-2.696819,-0.297252,9.442011,2.051000,9.824091,0.048327,0.000000,-0.023873,0.247833
50528748.000000,-0.055353,0.525910,0.048318,0.001065,0.002131,-0.003196,-2.696819,-0.297252,9.442011,1.957000,9.824091,0.048318,0.000000,-0.023881,0.247829
50530748.000000,-0.055349,0.525916,0.048331,0.000000,0.005326,0.006392,-2.703105,-0.274801,9.406089,2.005000,9.790648,0.048331,0.000000,-0.026142,0.246192
50532748.000000,-0.055331,0.525914,0.048342,0.005326,0.002131,0.004261,-2.695023,-0.249656,9.409681,2.004000,9.791199,0.048342,0.000000,-0.028805,0.247064
50534752.000000,-0.055300,0.525910,0.048357,0.011718,0.002131,0.006392,-2.686043,-0.259534,9.410579,2.004000,9.789850,0.048357,0.000000,-0.027728,0.247975
50536752.000000,-0.055271,0.525899,0.048374,0.010653,0.000000,0.007457,-2.674368,-0.272107,9.415070,2.050000,9.791313,0.048374,0.000000,-0.026378,0.249247
50538752.000000,-0.055255,0.525893,0.048385,0.006392,0.002131,0.005326,-2.674368,-0.272107,9.415070,1.958000,9.791313,0.048385,0.000000,-0.026362,0.249241
50540752.000000,-0.055230,0.525886,0.048393,0.010653,0.004261,0.003196,-2.645631,-0.259534,9.413273,2.004000,9.781432,0.048393,0.000000,-0.027666,0.252000
50542740.000000,-0.055219,0.525864,0.048387,0.006392,-0.006392,-0.003196,-2.687839,-0.257738,9.433030,2.004000,9.811879,0.048387,0.000000,-0.027903,0.248379
50544736.000000,-0.055213,0.525845,0.048382,0.005326,-0.006392,-0.002131,-2.707596,-0.273903,9.423152,2.004000,9.808256,0.048382,0.000000,-0.026155,0.246160
50546740.000000,-0.055198,0.525848,0.048398,0.006392,0.000000,0.007457,-2.747110,-0.289169,9.405190,2.051000,9.802441,0.048398,0.000000,-0.024462,0.241796
