I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
40638792.000000,0.071494,0.407193,1.442497,-0.962999,-0.063916,3.233078,-3.250013,-0.409507,9.308202,2.004000,9.867771,1.442448,0.000000,0.115460,0.071571
40640776.000000,0.072124,0.406837,1.449434,-0.955542,-0.066046,3.209642,-3.214091,-0.739986,9.134880,2.004000,9.712054,1.449386,0.000000,0.152954,0.069539
40642776.000000,0.072513,0.406661,1.452918,-0.949151,-0.063916,3.203250,-3.364962,-0.052086,9.499485,1.004000,10.077991,1.452869,0.000000,0.077996,0.066231
40644776.000000,0.073526,0.406174,1.463327,-0.954477,-0.053263,3.206446,-3.317366,-0.499311,9.219296,3.005000,9.810691,1.463279,0.000000,0.127633,0.061237
40646776.000000,0.074162,0.405834,1.470231,-0.965130,-0.059655,3.190467,-3.317366,-0.499311,9.219296,2.004000,9.810691,1.470183,0.000000,0.128268,0.060897
40648792.000000,0.074887,0.405556,1.477120,-0.936367,-0.066046,3.178749,-3.571512,-0.276597,8.768479,2.004000,9.471981,1.477072,0.000000,0.106421,0.018936
40650784.000000,0.075765,0.405105,1.484080,-0.942759,-0.068177,3.200054,-3.018318,0.486739,9.697952,2.004000,10.168453,1.484031,0.000000,0.025617,0.103732
40652772.000000,0.076370,0.404781,1.491187,-0.969391,-0.062851,3.214968,-3.465543,-0.715739,8.935515,2.051000,9.610708,1.491138,0.000000,0.156300,0.035878
40654772.000000,0.077057,0.404503,1.497945,-0.957673,-0.062851,3.191532,-3.734956,-0.193079,9.140268,1.958000,9.875813,1.497896,0.000000,0.098178,0.016660
40656792.000000,0.077953,0.404053,1.504934,-0.944890,-0.058590,3.204315,-2.993173,0.624139,9.662030,2.009000,10.134272,1.504885,0.000000,0.013446,0.104230
40658792.000000,0.078831,0.403598,1.511948,-0.961934,-0.057524,3.233078,-2.993173,0.624139,9.662030,1.999000,10.134272,1.511899,0.000000,0.014324,0.103775
40660772.000000,0.079365,0.403254,1.518903,-0.972586,-0.061785,3.227751,-3.470033,-0.959109,9.081896,2.004000,9.769435,1.518854,0.000000,0.184581,0.040134
40662772.000000,0.079936,0.402953,1.525939,-0.945955,-0.058590,3.189402,-3.653234,-0.930371,8.973232,2.051000,9.732965,1.525890,0.000000,0.183250,0.018183
40664772.000000,0.080767,0.402549,1.532659,-0.923584,-0.050067,3.169162,-3.065016,0.404119,9.402496,1.957000,9.897705,1.532611,0.000000,0.037814,0.087704
